id,profileId,name,rating,cap,isCore,updatedAt
attr_demo_1,profile_demo,Fitness,74,99,true,2026-05-03T23:42:06.762Z
attr_demo_2,profile_demo,Focus,82,99,true,2026-05-03T23:42:06.762Z
attr_demo_3,profile_demo,Discipline,78,99,true,2026-05-03T23:42:06.762Z
attr_demo_4,profile_demo,Creativity,76,99,true,2026-05-03T23:42:06.762Z
attr_demo_5,profile_demo,Social,64,99,true,2026-05-03T23:42:06.762Z
attr_demo_6,profile_demo,Finance,69,99,true,2026-05-03T23:42:06.762Z
attr_demo_7,profile_demo,Sleep,71,99,true,2026-05-03T23:42:06.762Z
attr_demo_8,profile_demo,Learning,84,99,true,2026-05-03T23:42:06.762Z
attr_moqh2ew4_hhfveo,profile_moqh2es4_4p0uao,Fitness,3,99,true,2026-05-04T00:39:54.977Z
attr_moqh2ew4_chdcnv,profile_moqh2es4_4p0uao,Focus,2,99,true,2026-05-04T00:39:54.977Z
attr_moqh2ew4_27azr8,profile_moqh2es4_4p0uao,Discipline,0,99,true,2026-05-04T00:39:32.836Z
attr_moqh2ew4_gh7lqn,profile_moqh2es4_4p0uao,Creativity,0,99,true,2026-05-04T00:39:32.836Z
attr_moqh2ew5_0q2zmj,profile_moqh2es4_4p0uao,Social,0,99,true,2026-05-04T00:39:32.837Z
attr_moqh2ew5_n8qqnn,profile_moqh2es4_4p0uao,Finance,0,99,true,2026-05-04T00:39:32.837Z
attr_moqh2ew5_2iu5bg,profile_moqh2es4_4p0uao,Sleep,0,99,true,2026-05-04T00:39:32.837Z
attr_moqh2ew5_3xbepc,profile_moqh2es4_4p0uao,Learning,0,99,true,2026-05-04T00:39:32.837Z
